;;564;645;539;602;608;585;561;564;645;539;602;608;585;561;564;645;539;602;608;585;561
564;1;3;1;1;3;0;0;1;40;40;40;40;40;40;40;8;8;8;9;8;8;8
645;1;1;3;0;3;0;1;1;29;30;26;32;24;27;28;10;10;8;10;8;9;10
539;1;1;0;3;3;1;0;1;7;7;10;9;5;6;8;8;6;8;8;6;6;8
602;1;1;0;3;3;0;1;1;10;10;20;17;8;10;18;7;6;8;7;5;7;8
608;1;3;0;0;3;1;1;1;10;5;10;15;10;10;10;8;5;8;8;7;8;8
585;1;0;0;1;3;1;1;3;5;5;5;5;5;5;5;10;10;10;10;10;10;10
561;1;;;;;;;;;;;;;;;;;;;;;
;;537;558;543;574;173;262;;537;558;543;574;173;262;;537;558;543;574;173;262;
537;2;1;0;3;3;1;0;;12;3;10;15;8;6;;9;8;9;10;9;10;
558;2;1;3;0;3;1;0;;4;3;3;5;3;4;;8;8;8;8;8;8;
543;2;0;0;1;3;1;3;;100;56;100;100;100;100;;10;7;10;10;10;10;
574;2;;;;;;;;;;;;;;;;;;;;;
173;2;1;0;1;3;3;0;;4;1;4;4;4;1;;8;7;8;9;7;6;
262;2;1;0;0;3;1;3;;7;5;6;12;8;9;;7;7;7;8;7;8;
;;592;619;270;542;581;570;264;592;619;270;542;581;570;264;592;619;270;542;581;570;264
592;3;1;1;3;0;3;1;0;8;5;5;3;5;2;4;8;8;8;5;6;2;7
619;3;3;1;1;0;3;0;1;30;20;25;3;30;3;15;9;7;8;4;8;3;6
270;3;3;3;1;0;1;1;0;8;7;6;3;7;8;3;8;8;6;4;7;8;4
542;3;;;;;;;;;;;;;;;;;;;;;
581;3;3;1;1;0;3;1;0;17;11;10;6;14;15;11;9;8;9;6;8;9;7
570;3;3;1;1;0;1;0;3;25;23;20;5;22;18;20;10;8;8;5;8;7;8
264;3;3;1;3;0;1;0;1;7;4;7;3;5;3;7;8;7;6;5;6;5;8
;;335;648;583;279;547;560;612;335;648;583;279;547;560;612;335;648;583;279;547;560;612
335;4;1;3;3;0;1;0;1;4;5;5;3;5;2;4;10;9;8;7;8;7;7
648;4;0;3;1;0;1;1;3;3;12;8;8;8;8;10;6;7;7;6;7;8;7
583;4;0;3;3;0;1;1;1;5;10;8;8;8;6;8;9;9;9;9;9;9;9
279;4;0;3;3;1;1;0;1;7;15;15;7;15;12;12;9;10;10;8;8;8;8
547;4;0;3;3;1;1;1;0;2;8;8;7;7;7;7;6;10;10;9;8;9;9
560;4;;;;;;;;;;;;;;;;;;;;;
612;4;0;3;3;1;1;0;1;15;15;15;15;15;15;15;10;10;10;10;10;10;10
;;604;550;642;618;567;578;;604;550;642;618;567;578;;604;550;642;618;567;578;
604;5;3;1;0;1;0;3;;20;12;6;15;12;15;;9;8;4;7;8;8;
550;5;3;3;0;0;1;1;;8;6;6;4;5;4;;10;10;9;9;9;9;
642;5;3;0;1;1;0;3;;20;13;14;15;13;15;;10;10;10;10;10;10;
618;5;3;1;0;0;1;3;;16;11;10;9;10;10;;9;9;9;9;9;9;
567;5;3;0;3;0;1;1;;9;5;6;4;6;4;;10;6;7;6;7;6;
578;5;3;1;0;1;0;3;;18;10;8;11;8;14;;10;8;7,5;8,5;8;9;
;;638;601;591;573;569;647;306;638;601;591;573;569;647;306;638;601;591;573;569;647;306
638;6;3;1;0;0;1;1;3;6;6;7;7;4;5;8;10;10;10;10;10;10;10
601;6;3;0;1;0;3;1;1;9;9;11;10;10;9;11;10;10;10;10;10;10;10
591;6;0;1;1;3;1;0;3;3;4;5;6;5;3;6;7;8;8;8;8;7;8
573;6;0;1;3;1;1;0;3;4;6;7;8;6;4;8;6;7;8;7;8;6;8
569;6;0;1;1;1;3;0;3;8;7;10;12;9;8;10;7;8;10;9;10;8;10
647;6;0;1;3;1;0;1;3;96;96;96;96;96;96;96;10;10;10;10;10;10;10
306;6;0;1;1;3;1;0;3;4;4;5;5;5;4;5;4;6;6;7;6;4;6
;;330;600;182;540;595;314;626;330;600;182;540;595;314;626;330;600;182;540;595;314;626
330;7;;;;;;;;;;;;;;;;;;;;;
600;7;;;;;;;;;;;;;;;;;;;;;
182;7;0;0;3;1;3;1;1;7;0;13;12;13;12;11;6;0;9;8;9;8;7
540;7;0;1;3;1;3;1;0;;;;;;;;8;8;9;8;9;8;8
595;7;0;0;3;1;3;1;1;0;0;12;5;12;5;2;0;0;9;7;7;9;7
314;7;1;0;3;1;3;1;0;5;8;5;5;10;7;5;6;7;6;6;7;7;6
626;7;0;0;3;1;3;1;1;15;0;15;15;20;15;15;8;0;8;8;10;8;8
;;631;563;643;301;596;290;;631;563;643;301;596;290;;631;563;643;301;596;290;
631;8;3;1;1;3;0;0;;7;5;5;10;3;3;;8;6;7;10;5;5;
563;8;;;;;;;;;;;;;;;;;;;;;
643;8;3;1;1;3;0;0;;15;15;15;15;15;15;;8;8;8;8;7;8;
301;8;3;1;1;3;0;0;;10;5;4;15;5;4;;9;5;5;10;4;4;
596;8;;;;;;;;;;;;;;;;;;;;;
290;8;3;1;0;3;0;1;;2;3;4;3;3;3;;9;9;9;9;9;9;
;;572;586;545;548;620;;;572;586;545;548;620;;;572;586;545;548;620;;
572;9;3;3;0;1;0;;;10;10;7;8;5;;;6;7;6;7;5;;
586;9;3;1;3;0;0;;;10;10;5;5;10;;;9;9;7;9;8;;
545;9;3;3;1;0;0;;;40;40;40;35;30;;;8;8;7;7;6;;
548;9;0;3;3;1;0;;;10;10;10;10;10;;;9;9;9;8;8;;
620;9;3;1;0;3;0;;;10;10;10;10;10;;;7;6;6;9;6;;
;;630;623;278;544;331;;;630;623;278;544;331;;;630;623;278;544;331;;
630;10;3;3;0;1;0;;;15;20;10;12;12;;;9;10;8;8;8;;
623;10;1;3;0;3;0;;;5;12;3;7;5;;;6;9;2;6;10;;
278;10;;;;;;;;;;;;;;;;;;;;;
544;10;3;3;0;0;1;;;4;10;4;4;4;;;8;10;6;6;9;;
331;10;0;3;0;1;3;;;5;7;5;5;6;;;6;6;6;6;6;;
;;337;562;646;576;589;636;559;337;562;646;576;589;636;559;337;562;646;576;589;636;559
337;11;;;;;;;;;;;;;;;;;;;;;
562;11;1;3;0;1;0;3;1;5;5;3;7;5;7;5;8;8;6;8;8;8;8
646;11;3;0;1;3;1;0;1;;;;;;;;;;;;;;
576;11;1;1;0;3;0;3;1;70;50;10;70;40;70;45;9;7;3;9;8;9;8
589;11;1;1;0;3;1;3;0;6;5;4;7;5;7;5;8;6;5;9;6;9;6
636;11;1;0;0;3;1;3;1;20;15;11;20;15;20;16;8;8;7;8;8;8;8
559;11;0;1;0;1;3;1;3;5;3;5;4;1;1;4;0;7;8;8;4;2;8
;;637;281;644;594;313;;;637;281;644;594;313;;;637;281;644;594;313;;
637;12;3;1;0;0;3;;;5;5;2;3;6;;;8;8;6;7;9;;
281;12;1;3;0;0;3;;;13;15;12;12;18;;;9;9;9;9;9;;
644;12;0;3;3;1;;;;6;7;8;6;;;;6;8;7;7;;;
594;12;0;3;0;1;3;;;5;7;4;5;7;;;8;8;7;7;8;;
313;12;3;1;0;0;3;;;9;8;5;7;10;;;9;9;7;8;9;;
;;555;651;546;609;649;634;;555;651;546;609;649;634;;555;651;546;609;649;634;
555;13;1;3;0;3;0;1;;30;40;20;30;3;30;;8;9;7;8;3;7;
651;13;1;3;0;3;0;1;;40;70;12;50;1;30;;7;8;5;7;0;5;
546;13;1;3;0;3;0;1;;35;50;30;40;0;35;;7;9;7;8;0;7;
609;13;;;;;;;;;;;;;;;;;;;;;
649;13;;;;;;;;;;;;;;;;;;;;;
634;13;1;3;0;3;0;1;;20;25;20;20;1;20;;9;10;9;9;1;9;
;;629;323;541;625;593;;;629;323;541;625;593;;;629;323;541;625;593;;
629;14;;;;;;;;;;;;;;;;;;;;;
323;14;0;3;0;1;3;;;5;12;4;3;10;;;5;10;6;5;10;;
541;14;0;3;1;0;3;;;7;10;7;5;14;;;6;8;7;5;9;;
625;14;1;3;0;0;3;;;5;9;4;4;10;;;10;10;9;10;10;;
593;14;1;3;0;0;3;;;;;;;;;;;;;;;;
;;622;624;621;159;554;616;;622;624;621;159;554;616;;622;624;621;159;554;616;
622;15;1;3;0;1;0;3;;12;14;6;14;10;20;;8;8;4;8;6;10;
624;15;3;1;1;0;0;3;;7;5;6;5;4;9;;9;7;7;7;6;10;
621;15;;;;;;;;;;;;;;;;;;;;;
159;15;1;3;1;0;0;3;;14;14;12;9;10;15;;9;9;8;7;8;9;
554;15;1;3;0;0;1;3;;8;8;6;6;7;8;;8;9;6;7;7;9;
616;15;3;1;0;1;0;3;;8;8;2;6;5;10;;9;9;3;7;6;10;
;;598;565;580;605;590;450;;598;565;580;605;590;450;;598;565;580;605;590;450;
598;16;3;0;1;1;3;0;;9;6;9;9;10;7;;9;9;9;9;10;7;
565;16;1;3;1;0;3;0;;14;12;10;5;16;5;;10;10;10;10;10;10;
580;16;1;3;0;3;1;0;;4;4;4;4;4;4;;10;10;10;10;10;10;
605;16;;;;;;;;;;;;;;;;;;;;;
590;16;1;3;1;0;3;0;;8;12;13;14;14;8;;7;8;8;8;8;7;
450;16;1;3;0;0;3;1;;4;3;3;2;6;4;;8;7;7;6;9;7;
;;268;304;251;607;577;587;;268;304;251;607;577;587;;268;304;251;607;577;587;
268;17;3;0;1;3;0;1;;25;8;15;30;8;20;;8;4;7;9;4;8;
304;17;3;0;1;3;0;1;;16;6;20;20;4;12;;8;8;10;8;6;6;
251;17;3;0;1;3;0;1;;10;5;10;10;5;10;;8;6;8;8;7;8;
607;17;3;0;1;1;0;3;;5;1;3;6;1;4;;9;3;5;8;3;8;
577;17;;;;;;;;;;;;;;;;;;;;;
587;17;3;0;1;3;0;1;;7;3;7;9;5;7;;10;4;7;10;4;10;
;;268;304;251;607;587;;;268;304;251;607;587;;;268;304;251;607;587;;
268;24;3;0;1;3;0;;;25;8;15;30;8;;;8;4;7;9;4;;
304;24;3;0;1;3;0;;;16;6;20;20;4;;;8;8;10;8;6;;
251;24;3;0;1;3;0;;;10;5;10;10;5;;;8;6;8;8;7;;
607;24;3;0;1;1;0;;;5;1;3;6;1;;;9;3;5;8;3;;
587;24;3;0;1;3;0;;;7;3;7;9;5;;;10;4;7;10;4;;
;;639;324;588;615;557;568;571;639;324;588;615;557;568;571;639;324;588;615;557;568;571
639;19;1;3;3;0;0;1;1;2;1;3;1;1;2;2;8;10;10;6;7;8;8
324;19;1;3;3;0;1;1;0;6;6;6;6;6;6;6;8;9;9;3;7;9;8
588;19;0;3;1;0;1;3;1;3;8;5;2;4;6;6;7;10;8;4;7;9;9
615;19;1;3;3;0;0;1;1;13;13;13;13;13;13;13;10;10;10;10;10;10;10
557;19;0;3;3;0;1;1;1;5;5;5;3;5;5;5;10;10;10;7;10;10;10
568;19;1;3;3;0;0;1;1;15;20;20;2;15;20;20;10;10;10;4;10;10;10
571;19;1;3;3;0;0;1;1;42;50;50;30;30;42;42;8;9;9;8;8;8;8
;;599;579;633;265;611;584;;599;579;633;265;611;584;;599;579;633;265;611;584;
599;20;3;1;1;0;3;0;;7;7;7;5;6;6;;10;10;10;10;10;10;
579;20;3;1;1;0;3;0;;12;8;10;5;14;6;;9;8;8;7;10;7;
633;20;3;1;3;0;1;0;;15;12;16;8;15;10;;9;8;9;7;9;7;
265;20;3;0;1;0;3;1;;17;12;19;12;12;15;;10;10;10;10;10;10;
611;20;3;1;1;0;3;0;;8;7;8;6;7;6;;10;10;10;10;10;10;
584;20;;;;;;;;;;;;;;;;;;;;;
;;613;610;327;603;536;650;;613;610;327;603;536;650;;613;610;327;603;536;650;
613;21;1;3;1;0;0;3;;10;11;12;12;9;12;;9;9;9;9;7;9;
610;21;1;3;0;3;0;1;;4;4;2;6;2;4;;7;8;5;9;6;6;
327;21;1;3;3;1;0;0;;20;20;20;20;20;20;;10;10;10;10;10;10;
603;21;1;3;0;3;0;1;;7;7;4;7;3;6;;8;8;5;8;2;7;
536;21;3;1;0;3;0;1;;11;11;10;12;10;10;;9;9;9;9;9;9;
650;21;1;3;0;3;0;1;;4;4;4;5;2;4;;9;10;9;10;7;9;
;;582;549;614;597;556;632;;582;549;614;597;556;632;;582;549;614;597;556;632;
582;22;1;3;1;0;3;0;;8;15;8;5;10;8;;9;10;9;8;9;8;
549;22;0;3;0;3;1;1;;15;24;15;12;10;8;;9;8;9;9;9;8;
614;22;1;3;1;0;3;0;;16;16;7;16;8;8;;10;10;9;10;10;10;
597;22;1;3;0;1;3;0;;3;6;3;3;4;3;;8;8;8;8;8;8;
556;22;0;3;3;1;1;0;;10;15;10;10;10;10;;10;10;10;10;10;10;
632;22;1;3;1;0;3;0;;10;20;10;10;15;10;;8;10;9;8;9;8;
;;635;627;606;551;566;299;553;635;627;606;551;566;299;553;635;627;606;551;566;299;553
635;23;3;1;1;1;3;0;0;9;7;10;10;10;7;5;9;7;7;6;8;4;3
627;23;3;0;3;1;1;0;1;20;5;20;15;12;15;10;9;5;9;7;8;7;8
606;23;3;1;1;1;3;0;0;12;8;8;7;8;6;7;10;8;9;8;9;4;7
551;23;3;0;1;1;3;1;0;21;14;17;18;21;16;13;8;7;7,5;7,5;8;7,5;6
566;23;3;1;1;1;3;0;0;7;3;5;6;7;2;4;9;6;9;8;9;4;7
299;23;1;0;1;1;3;3;0;20;20;30;30;30;30;20;7;7;7;7;7;7;7
553;23;3;0;3;1;1;1;0;;;;;;;;;;;;;;
;;268;304;251;607;587;;;268;304;251;607;587;;;268;304;251;607;587;;
268;18;3;0;1;3;0;;;25;8;15;30;8;;;8;4;7;9;4;;
304;18;3;0;1;3;0;;;16;6;20;20;4;;;8;8;10;8;6;;
251;18;3;0;1;3;0;;;10;5;10;10;5;;;8;6;8;8;7;;
607;18;3;0;1;1;0;;;5;1;3;6;1;;;9;3;5;8;3;;
587;18;3;0;1;3;0;;;7;3;7;9;5;;;10;4;7;10;4;;
